contract_id,instrument_id,is_option,option_type,expiry_date,strike,root,multiplier,exchange_code
a5e638cf-489f-573c-8ab9-e06fda0b4d13,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-05-03,850.0,NVDA,100.0,
fc34cb13-d8af-5bee-a65d-3fbd0b4b13ad,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-01,5060.0,SPX,100.0,
3135b06c-1938-553b-a02e-79d45fd79551,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-01,5120.0,SPX,100.0,
095f922a-690b-547e-95f3-8fdb5dd07a23,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-30,5080.0,SPX,100.0,
057fa749-e0a1-5d9f-83cb-dffed13169f8,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-30,5100.0,SPX,100.0,
d876c275-9578-5e91-ada6-4ca9d0d0738e,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-30,5120.0,SPX,100.0,
4d92061a-bd6a-55f7-b11f-fd279271a88a,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-30,5090.0,SPX,100.0,
de5184e8-f8ad-5b7c-b56e-776f495bf6ad,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-29,5105.0,SPX,100.0,
4a367020-43d2-5fda-bd0a-e12791e4212a,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-29,5130.0,SPX,100.0,
15fc58ba-7dac-582e-ad11-bb9751664799,8c57f5cf-512b-5768-acb2-16ecd24e0d31,True,PUT,2024-04-29,432.0,QQQ,100.0,
c554a45b-0da0-5cbf-8bbe-193fd954189f,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-26,5100.0,SPX,100.0,
61146abc-36bd-5dee-bb17-5a05582d8581,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-26,5070.0,SPX,100.0,
6477d6c5-9e11-5743-9b1e-d8a6059952b3,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-26,5040.0,SPX,100.0,
