round_trip_id,account,symbol,contract_multiplier,is_option,expiry_date,strike,option_type,qty,open_side,close_side,open_price,close_price,gross_open_value,gross_close_value,realized_pnl,open_trade_id,close_trade_id,open_dt,close_dt,days_held,synthetic_expiration
62,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,1.250000,0.000000,125.00,0.00,-125.00,65893132609,SYN_EXP,2024-05-06T08:30:36-05:00,2024-05-17T23:59:59,11.437072,True
63,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,1.250000,0.000000,125.00,0.00,-125.00,65893132613,SYN_EXP,2024-05-06T08:30:36-05:00,2024-05-17T23:59:59,11.437072,True
64,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,1.250000,0.000000,125.00,0.00,-125.00,65893132611,SYN_EXP,2024-05-06T08:30:36-05:00,2024-05-17T23:59:59,11.437072,True
65,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,1.220000,0.000000,610.00,0.00,-610.00,65893132601,SYN_EXP,2024-05-06T08:30:36-05:00,2024-05-17T23:59:59,11.437072,True
66,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,0.960000,0.000000,192.00,0.00,-192.00,65895236929,SYN_EXP,2024-05-06T08:37:49-05:00,2024-05-17T23:59:59,11.432060,True
67,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,0.960000,0.000000,96.00,0.00,-96.00,65895236925,SYN_EXP,2024-05-06T08:37:49-05:00,2024-05-17T23:59:59,11.432060,True
68,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,0.960000,0.000000,192.00,0.00,-192.00,65895236922,SYN_EXP,2024-05-06T08:37:49-05:00,2024-05-17T23:59:59,11.432060,True
69,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,0.960000,0.000000,96.00,0.00,-96.00,65895237005,SYN_EXP,2024-05-06T08:37:50-05:00,2024-05-17T23:59:59,11.432049,True
70,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,4,BUY,SELL,0.960000,0.000000,384.00,0.00,-384.00,65895237003,SYN_EXP,2024-05-06T08:37:50-05:00,2024-05-17T23:59:59,11.432049,True
71,*****0960TDA,MAY,24.0,True,2024-05-20,17650.0,PUT,5,BUY,SELL,28.750000,0.000000,3450.00,0.00,-3450.00,65891409439,SYN_EXP,2024-05-06T06:11:33-05:00,2024-05-20T23:59:59,14.533634,True
72,*****0960TDA,MAY,24.0,True,2024-05-20,17650.0,PUT,2,BUY,SELL,28.750000,0.000000,1380.00,0.00,-1380.00,65891409441,SYN_EXP,2024-05-06T06:11:33-05:00,2024-05-20T23:59:59,14.533634,True
73,*****0960TDA,SPX,100.0,True,2024-05-03,5100.0,PUT,1,BUY,SELL,2.800000,0.000000,280.00,0.00,-280.00,65871940289,SYN_EXP,2024-05-03T11:25:17-05:00,2024-05-03T23:59:59,0.315764,True
74,*****0960TDA,SPX,100.0,True,2024-05-03,5100.0,PUT,3,BUY,SELL,2.850000,0.000000,855.00,0.00,-855.00,65871940293,SYN_EXP,2024-05-03T11:25:17-05:00,2024-05-03T23:59:59,0.315764,True
75,*****0960TDA,SPX,100.0,True,2024-05-03,5100.0,PUT,1,BUY,SELL,2.800000,0.000000,280.00,0.00,-280.00,65871940291,SYN_EXP,2024-05-03T11:25:17-05:00,2024-05-03T23:59:59,0.315764,True
76,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,5,BUY,SELL,1.010000,0.000000,505.00,0.00,-505.00,65865272463,SYN_EXP,2024-05-03T10:03:35-05:00,2024-05-03T23:59:59,0.372500,True
77,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,1,BUY,SELL,1.010000,0.000000,101.00,0.00,-101.00,65865272656,SYN_EXP,2024-05-03T10:04:41-05:00,2024-05-03T23:59:59,0.371736,True
78,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,1,BUY,SELL,1.010000,0.000000,101.00,0.00,-101.00,65865272658,SYN_EXP,2024-05-03T10:04:41-05:00,2024-05-03T23:59:59,0.371736,True
79,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,1,BUY,SELL,1.010000,0.000000,101.00,0.00,-101.00,65865272664,SYN_EXP,2024-05-03T10:04:42-05:00,2024-05-03T23:59:59,0.371725,True
